VAT_GapLandC_BRSP.OBJECTID *,VAT_GapLandC_BRSP.Value,VAT_GapLandC_BRSP.Count,Value,Count,RED,GREEN,BLUE,CL,NVC_CLASS,SC,NVC_SUBCL,FRM,NVC_FORM,DIV,NVC_DIV,MACRO_CD,NVC_MACRO,GR,NVC_GROUP,LEVEL3,ECOLSYS_LU,NVCMES
11,49,225,49,882532,0.12157,0.61176,0.31373,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nd,Madrean-Edwards Plateau Warm Temperate Woodland & Scrub,M011,Madrean Montane Forest & Woodland,G202,Madrean Upper Montane Conifer - Oak Forest & Woodland,4316,Madrean Upper Montane Conifer-Oak Forest and Woodland,1.B.1.NdM011G202E49
12,54,1341421,54,1497195,0.38824,0.47059,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M886,Southern Vancouverian Dry Foothill Forest,G206,Cascadian Oregon White Oak - Conifer Forest & Woodland,4550,East Cascades Oak-Ponderosa Pine Forest and Woodland,1.B.2.NdM886G206E54
13,55,82248,55,10379400,0.38824,0.47059,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nc,Californian Warm Temperate Forest & Woodland,M009,Californian Forest & Woodland,G208,Californian Moist Coastal Mixed Evergreen Forest,4320,Mediterranean California Mixed Evergreen Forest,1.B.1.NcM009G208E55
14,56,2958388,56,3695541,0.38824,0.47059,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nc,Californian Warm Temperate Forest & Woodland,M009,Californian Forest & Woodland,G195,Californian Broadleaf Forest & Woodland,4144,Mediterranean California Mixed Oak Woodland,1.B.1.NcM009G195E56
15,57,527987,57,3400580,0.38824,0.47059,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M886,Southern Vancouverian Dry Foothill Forest,G800,Southern Vancouverian Dry Douglas-fir - Madrone Woodland,4319,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,1.B.2.NdM886G800E57
16,58,88880,58,1507411,0.38824,0.47059,0.36078,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M886,Southern Vancouverian Dry Foothill Forest,G206,Cascadian Oregon White Oak - Conifer Forest & Woodland,4110,North Pacific Oak Woodland,1.B.2.NdM886G206E58
17,91,379055,91,39710439,0.43137,0.45098,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M013,Eastern North American Ruderal Forest,G030,Northern & Central Native Ruderal Forest,8504,Ruderal forest,1.B.2.NaM013G030E91
18,115,1,115,709003,0.38824,0.41176,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American & Great Plains Cool Temperate Forest & Woodland,M151,Great Plains Forest & Woodland,G146,Northern Great Plains Tallgrass Aspen Woodland,4131,Eastern Great Plains Tallgrass Aspen Parkland,1.B.2.NaM151G146E115
19,116,726,116,800,0.38824,0.41176,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M151,Great Plains Forest & Woodland,G328,Northern Great Plains Fescue Aspen Woodland,4138,Northwestern Great Plains Aspen Forest and Parkland,1.B.2.NaM151G328E116
20,117,2380584,117,3739544,0.38824,0.41176,0,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Nb,Central Norrth American Grassland & Shrubland,M051,Great Plains Mixedgrass & Fescue Prairie,G141,Northern Great Plains Mixedgrass Prairie,5805,Northwestern Great Plains Shrubland,2.B.2.NbM051G141E117
21,118,436756,118,3452792,0.38824,0.41176,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American Cool Temperate Forest & Woodland,M151,Great Plains Forest & Woodland,G329,Great Plains Bur Oak Forest & Woodland,4312,Western Great Plains Dry Bur Oak Forest and Woodland,1.B.2.NaM151G329E118
22,119,2096158,119,5849376,0.38824,0.41176,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Na,Eastern North American & Great Plains Cool Temperate Forest & Woodland,M151,Great Plains Forest & Woodland,G145,Great Plains Mesic Forest & Woodland,4154,Western Great Plains Wooded Draw and Ravine,1.B.2.NaM151G145E119
23,136,4520591,136,4605637,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M500,Central Rocky Mountain Mesic Lower Montane Forest,G212,East Cascades Mesic Grand Fir - Douglas-fir Forest,4602,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,1.B.2.NbM500G212E136
24,137,21165353,137,21165354,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M501,Central Rocky Mountain Dry Lower Montane-Foothill Forest,G215,Middle Rocky Mountain Montane Douglas-fir Forest & Woodland,4543,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,1.B.2.NbM501G215E137
25,138,71439237,138,71451749,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M501,Central Rocky Mountain Dry Lower Montane-Foothill Forest,G210,Central Rocky Mountain Douglas-fir - Pine Forest,4524,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,1.B.2.NbM501G210E138
26,139,2382638,139,2382638,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M501,Central Rocky Mountain Dry Lower Montane-Foothill Forest,G213,Central Rocky Mountain Ponderosa Pine Open Woodland,5302,Northern Rocky Mountain Foothill Conifer Wooded Steppe,1.B.2.NbM501G213E139
27,140,23178992,140,23180691,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M500,Central Rocky Mountain Mesic Lower Montane Forest,G211,Central Rocky Mountain Mesic Grand Fir - Douglas-fir Forest,4609,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,1.B.2.NbM500G211E140
28,141,30840861,141,30877183,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M501,Central Rocky Mountain Dry Lower Montane-Foothill Forest,G213,Central Rocky Mountain Ponderosa Pine Open Woodland,4529,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,1.B.2.NbM501G213E141
29,142,1005561,142,1005561,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M500,Central Rocky Mountain Mesic Lower Montane Forest,G211,Central Rocky Mountain Mesic Grand Fir - Douglas-fir Forest,4510,Northern Rocky Mountain Western Larch Savanna,1.B.2.NbM500G211E142
30,143,25791315,143,26685955,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M501,Central Rocky Mountain Dry Lower Montane-Foothill Forest,G216,Northwestern Great Plains-Black Hills Ponderosa Pine Forest & Woodland,4548,Northwestern Great Plains - Black Hills Ponderosa Pine Woodland and Savanna,1.B.2.NbM501G216E143
31,144,7545898,144,7546663,0,0.32941,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M501,Central Rocky Mountain Dry Lower Montane-Foothill Forest,G209,Rocky Mountain Foothill-Rock Outcrop Limber Pine - Juniper Woodland,4526,Rocky Mountain Foothill Limber Pine-Juniper Woodland,1.B.2.NbM501G209E144
32,145,4542504,145,4649477,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G222,Rocky Mountain Subalpine-Montane Aspen Forest & Woodland,4324,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,1.B.2.NbM020G222E145
33,146,731434,146,731429,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G224,Intermountain Basins Subalpine Limber Pine - Bristlecone Pine Woodland,4515,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,1.B.2.NbM020G224E146
34,147,5399977,147,5522700,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G223,Northern Rocky Mountain Whitebark Pine - Subalpine Larch Woodland,4525,Northern Rocky Mountain Subalpine Woodland and Parkland,1.B.2.NbM020G223E147
35,148,28882278,148,29336036,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G222,Rocky Mountain Subalpine-Montane Aspen Forest & Woodland,4111,Rocky Mountain Aspen Forest and Woodland,1.B.2.NbM020G222E148
36,149,47434652,149,47458101,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G220,Rocky Mountain Lodgepole Pine Forest & Woodland,4527,Rocky Mountain Lodgepole Pine Forest,1.B.2.NbM020G220E149
37,150,2798031,150,2800779,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G220,Rocky Mountain Lodgepole Pine Forest & Woodland,4544,Rocky Mountain Poor-Site Lodgepole Pine Forest,1.B.2.NbM020G220E150
38,151,51105379,151,51602560,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G219,Rocky Mountain Subalpine Dry-Mesic Spruce - Fir Forest & Woodland,4531,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,1.B.2.NbM020G219E151
39,152,38208151,152,39030852,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G219,Rocky Mountain Subalpine Dry-Mesic Spruce - Fir Forest & Woodland,4611,Rocky Mountain Subalpine Mesic Spruce-Fir Forest and Woodland,1.B.2.NbM020G219E152
40,153,1350381,153,1554715,0,0.27059,0,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G221,Rocky Mountain Subalpine-Montane Limber Pine - Bristlecone Pine Woodland,4532,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,1.B.2.NbM020G221E153
41,154,1024857,154,1024850,0,0.38824,0.07843,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M020,Rocky Mountain Subalpine-High Montane Conifer Forest,G222,Rocky Mountain Subalpine-Montane Aspen Forest & Woodland,4112,Rocky Mountain Bigtooth Maple Ravine Woodland,1.B.2.NbM020G222E154
42,155,9530239,155,11118376,0,0.38824,0.07843,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M022,Southern Rocky Mountain Lower Montane Forest,G226,Southern Rocky Mountain White Fir - Douglas-fir Dry Forest,4528,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,1.B.2.NbM022G226E155
43,156,7128181,156,8569018,0,0.38824,0.07843,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M022,Southern Rocky Mountain Lower Montane Forest,G225,Rocky Mountain Douglas-fir - White Fir - Blue Spruce Mesic Forest,4610,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,1.B.2.NbM022G225E156
44,157,4515,157,4526,0,0.38824,0.07843,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M022,Southern Rocky Mountain Lower Montane Forest,G229,Southern Rocky Mountain Ponderosa Pine Open WoodlandSavanna,5605,Southern Rocky Mountain Ponderosa Pine Savanna,1.B.2.NbM022G229E157
45,158,30910959,158,54321585,0,0.38824,0.07843,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nb,Rocky Mountain Cool Temperate Forest & Woodland,M022,Southern Rocky Mountain Lower Montane Forest,G228,Southern Rocky Mountain Ponderosa Pine Forest & Woodland,4530,Southern Rocky Mountain Ponderosa Pine Woodland,1.B.2.NbM022G228E158
46,159,7742048,159,8335471,0,0.27059,0.19608,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M023,Southern Vancouverian Montane-Foothill Forest,G344,California Montane Conifer Forest & Woodland,4520,California Montane Jeffrey Pine-(Ponderosa Pine) Woodland,1.B.2.NdM023G344E159
47,160,8069,160,382179,0,0.27059,0.19608,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M023,Southern Vancouverian Montane-Foothill Forest,G344,California Montane Conifer Forest & Woodland,4516,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,1.B.2.NdM023G344E160
48,161,696,161,175406,0,0.27059,0.19608,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M023,Southern Vancouverian Montane-Foothill Forest,G344,California Montane Conifer Forest & Woodland,4517,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,1.B.2.NdM023G344E161
49,162,8552251,162,29293449,0,0.27059,0.19608,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M023,Southern Vancouverian Montane-Foothill Forest,G344,California Montane Conifer Forest & Woodland,4519,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,1.B.2.NdM023G344E162
50,163,21897731,163,27635717,0,0.27059,0.19608,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M023,Southern Vancouverian Montane-Foothill Forest,G344,California Montane Conifer Forest & Woodland,4603,Mediterranean California Mesic Mixed Conifer Forest and Woodland,1.B.2.NdM023G344E163
51,164,195485,164,236204,0,0.27059,0.19608,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M023,Southern Vancouverian Montane-Foothill Forest,G344,California Montane Conifer Forest & Woodland,4546,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,1.B.2.NdM023G344E164
52,165,24910,165,7523779,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G235,California Coastal Redwood Forest,4601,California Coastal Redwood Forest,1.B.2.NdM024G235E165
53,166,257519,166,1338033,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G237,North Pacific Red Alder - Bigleaf Maple - Douglas-fir Forest,4148,North Pacific Broadleaf Landslide Forest and Shrubland,1.B.2.NdM024G237E166
54,167,8082729,167,10866782,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G241,North Pacific Maritime Silver Fir - Western Hemlock Forest,4547,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,1.B.2.NdM024G241E167
55,169,18,169,1029130,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G751,North Pacific Western Hemlock - Sitka Spruce - Western Red-cedar Seasonal Rainforest,4613,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,1.B.2.NdM024G751E169
56,170,887541,170,5255971,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G237,North Pacific Red Alder - Bigleaf Maple - Douglas-fir Forest,4338,North Pacific Lowland Mixed Hardwood-Conifer Forest and Woodland,1.B.2.NdM024G237E170
57,171,6328353,171,17312625,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G240,North Pacific Maritime Douglas-fir - Western Hemlock Forest,4522,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,1.B.2.NdM024G240E171
58,172,7399367,172,22476562,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G240,North Pacific Maritime Douglas-fir - Western Hemlock Forest,4606,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,1.B.2.NdM024G240E172
59,173,308762,173,1835178,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G241,North Pacific Maritime Silver Fir - Western Hemlock Forest,4607,North Pacific Mesic Western Hemlock-Silver Fir Forest,1.B.2.NdM024G241E173
60,174,1107987,174,1170574,0,0.32941,0.27059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M024,Vancouverian Lowland & Montane Forest,G240,North Pacific Maritime Douglas-fir - Western Hemlock Forest,4552,North Pacific Wooded Volcanic Flowage,1.B.2.NdM024G240E174
61,175,3837979,175,4901222,0.3098,0.52157,0.47059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M025,Vancouverian Subalpine Forest,G749,Sierra-Cascade Red Fir - Mountain Hemlock Forest,4318,Mediterranean California Red Fir Forest,1.B.2.NdM025G749E175
62,176,170371,176,208909,0.3098,0.52157,0.47059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M025,Vancouverian Subalpine Forest,G243,Sierra-Cascade Cold-Dry Subalpine Woodland,4521,Mediterranean California Subalpine Woodland,1.B.2.NdM025G243E176
63,177,1439088,177,2320184,0.3098,0.52157,0.47059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M025,Vancouverian Subalpine Forest,G245,North Pacific Mountain Hemlock - Silver Fir Forest & Tree Island,4605,North Pacific Maritime Mesic Subalpine Parkland,1.B.2.NdM025G245E177
64,178,4567070,178,6120441,0.3098,0.52157,0.47059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M025,Vancouverian Subalpine Forest,G245,North Pacific Mountain Hemlock - Silver Fir Forest & Tree Island,4523,North Pacific Mountain Hemlock Forest,1.B.2.NdM025G245E178
65,179,1269868,179,1397593,0.3098,0.52157,0.47059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M025,Vancouverian Subalpine Forest,G749,Sierra-Cascade Red Fir - Mountain Hemlock Forest,4608,Northern California Mesic Subalpine Woodland,1.B.2.NdM025G749E179
